"Totale reizigerskilometers in Nederland per jaar; vervoerwijzen, regio's"
"";"Onderwerpen";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers"
"";"Perioden";"2010";"2011";"2012";"2013";"2014";"2015"
"Vervoerwijzen";"Regio's";"mld km";"mld km";"mld km";"mld km";"mld km";"mld km"
"Bus/tram/metro";"Utrecht (PV)";"0.4";"0.4";"0.4";"0.4";"0.4";"0.3"
"Bus/tram/metro";"Noord-Holland (PV)";"1.3";"1.4";"1.3";"1.3";"1.2";"1.3"
"Bus/tram/metro";"Zuid-Holland (PV)";"1.6";"1.8";"1.5";"1.7";"1.6";"1.8"
"Bus/tram/metro";"Zeeland (PV)";"0.1";"0.1";"0.1";"0.1";"0.1";"0.1"
"Bus/tram/metro";"Noord-Brabant (PV)";"0.5";"0.5";"0.5";"0.5";"0.4";"0.6"
"Bus/tram/metro";"Limburg (PV)";"0.3";"0.2";"0.3";"0.2";"0.3";"0.2"
"Brom-/snorfiets";"Nederland";"1.0";"1.2";"1.0";"1.1";"1.2";"1.1"
"Brom-/snorfiets";"Groningen (PV)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Brom-/snorfiets";"Friesland (PV)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Brom-/snorfiets";"Drenthe (PV)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.1"
"Brom-/snorfiets";"Overijssel (PV)";"0.1";"0.1";"0.0";"0.1";"0.1";"0.0"
"Brom-/snorfiets";"Flevoland (PV)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Brom-/snorfiets";"Gelderland (PV)";"0.1";"0.2";"0.1";"0.2";"0.1";"0.1"
"Brom-/snorfiets";"Utrecht (PV)";"0.1";"0.1";"0.1";"0.1";"0.1";"0.1"
"Brom-/snorfiets";"Noord-Holland (PV)";"0.2";"0.3";"0.2";"0.2";"0.2";"0.2"
"Brom-/snorfiets";"Zuid-Holland (PV)";"0.2";"0.3";"0.3";"0.3";"0.4";"0.2"
"Brom-/snorfiets";"Zeeland (PV)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Brom-/snorfiets";"Noord-Brabant (PV)";"0.1";"0.1";"0.1";"0.2";"0.2";"0.1"
"Brom-/snorfiets";"Limburg (PV)";"0.1";"0.1";"0.1";"0.0";"0.1";"0.1"
"Fiets";"Nederland";"13.7";"14.9";"14.7";"14.5";"16.3";"15.0"
"Fiets";"Groningen (PV)";"0.5";"0.7";"0.6";"0.6";"0.6";"0.7"
"Fiets";"Friesland (PV)";"0.6";"0.6";"0.6";"0.6";"0.6";"0.6"
"Fiets";"Drenthe (PV)";"0.4";"0.4";"0.4";"0.5";"0.4";"0.5"
"Fiets";"Overijssel (PV)";"1.1";"1.2";"1.1";"1.1";"1.2";"1.1"
"Fiets";"Flevoland (PV)";"0.3";"0.3";"0.2";"0.2";"0.3";"0.2"
"Fiets";"Gelderland (PV)";"1.8";"1.9";"1.8";"1.8";"2.1";"1.8"
"Fiets";"Utrecht (PV)";"1.1";"1.3";"1.2";"1.3";"1.4";"1.2"
"Fiets";"Noord-Holland (PV)";"2.3";"2.4";"2.7";"2.4";"2.9";"2.7"
"Fiets";"Zuid-Holland (PV)";"2.5";"2.8";"2.8";"3.0";"3.1";"2.9"
"Fiets";"Zeeland (PV)";"0.3";"0.3";"0.3";"0.3";"0.4";"0.4"
"Fiets";"Noord-Brabant (PV)";"2.0";"2.4";"2.2";"2.1";"2.4";"2.2"
"Fiets";"Limburg (PV)";"0.8";"0.7";"0.8";"0.7";"0.8";"0.7"
"Lopen";"Nederland";"5.8";"5.4";"5.4";"5.5";"5.7";"5.4"
"Lopen";"Groningen (PV)";"0.2";"0.2";"0.2";"0.2";"0.2";"0.2"
"Lopen";"Friesland (PV)";"0.2";"0.2";"0.2";"0.2";"0.2";"0.2"
"Lopen";"Drenthe (PV)";"0.2";"0.1";"0.1";"0.2";"0.1";"0.1"
"Lopen";"Overijssel (PV)";"0.3";"0.3";"0.3";"0.3";"0.4";"0.3"
